Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,13195479,"Mohammad Wasil Jalali","2025-01-08 05:57:27",1.00000,2,mohammadwasiljalali
2,13197700,"Rezvan Panah","2025-01-08 16:14:09",1.00000,5,rezvanpanah
3,6497188,"mos3 santos","2025-03-05 20:14:04",1.00000,341,mos3santos
4,13205164,"Hamid Zafaryan","2025-01-10 17:56:10",1.00000,7,hamidzafaryan
5,13205112,"Aziz Zafariyan","2025-01-10 18:00:30",1.00000,2,azizzafariyan
6,13206873,"Zhan Shuwei","2025-01-11 11:05:00",1.00000,7,zhanshuwei
7,4288623,"Sas Pav","2025-02-04 17:55:30",1.00000,32,saspav
8,12172048,"Khalil Alaei","2025-01-12 03:47:05",1.00000,1,khalilalaei
9,13210889,"Vivek Attri","2025-01-12 16:15:18",1.00000,1,vivekattri
10,13211200,"Bhawneet Singh","2025-01-12 18:20:09",1.00000,2,bhawneetsingh123
11,13211140,"Manmeet Singh #4","2025-01-12 18:39:22",1.00000,2,manmeetsinghh
12,13212231,"Jatin Arora #2","2025-01-13 04:02:28",1.00000,2,jatinarora098
13,12821374,"Pahlawan Rahmani","2025-01-13 17:50:56",1.00000,4,pahlawanbikrahmani
14,13211132,Sanyam_Sharma24,"2025-01-14 04:39:33",1.00000,2,sanyamsharma24
15,12801551,Veniamin_Nelin,"2025-03-06 08:26:33",1.00000,42,veniaminnelin
16,13232566,"Neha #11","2025-01-18 14:58:08",1.00000,1,nehaggggg
17,13240875,Abstract_pwq,"2025-01-22 06:53:52",1.00000,4,abstractpwq
18,13241676,RIDHAMGAR,"2025-01-21 07:48:05",1.00000,1,ridhamgar
19,13221500,Ehsan.Amiri6747,"2025-01-21 18:28:41",1.00000,3,ehsanamiri6747
20,12932725,"Muhammad Firdaus #2","2025-01-22 13:22:49",1.00000,4,ldausl
21,13248513,"Jayaraju Gorle","2025-03-03 00:57:05",1.00000,46,gorlej
22,13260868,Yeccest,"2025-01-27 11:37:34",1.00000,9,yeccest
23,13261145,"Nihal Thakur","2025-01-26 10:54:12",1.00000,4,nihxlt
24,13264727,"Yichi Zhang #2","2025-01-27 09:03:50",1.00000,4,zyctony
25,13266072,"Kashif Liaqat","2025-01-27 16:10:22",1.00000,1,kashif53104
26,5284268,"Praveen Kaushik","2025-02-24 18:24:49",1.00000,13,praveenkaushik80
27,13272393,"Weidong Mi","2025-01-29 12:12:51",1.00000,3,weidongmi
28,13272546,"Rohan phegade","2025-01-29 13:05:06",1.00000,1,rohanphegade
29,13273296,"Om Gupta","2025-01-29 17:35:57",1.00000,3,aaumgupta
30,13273527,"Serhii Yanovskii1","2025-01-29 19:50:32",1.00000,9,serhiiyanovskii1
31,13221834,"Raghav Manchanda","2025-01-29 20:01:54",1.00000,12,raghavmanchanda17
32,13266017,"[Deleted] 4fd7c3d6-bc7d-48b3-af42-74f3b7089f40","2025-01-31 10:23:08",1.00000,2,del=956597ecfec29369
33,13281342,"Nathan Kindo","2025-02-01 02:18:41",1.00000,3,nathankindo
34,13284769,"Raluca Sandu Prisacaru","2025-02-01 21:26:48",1.00000,5,ralucasanduprisacaru
35,13269276,"Oğuzhan Erbil","2025-02-04 08:16:41",1.00000,73,cabbar14ylnce
